id	title	year	nom	won	directed_by	running_time	screenplay_by	produced_by	starring	music_by	cinematography	editing_by	distributed_by	release_dates	story_by	studio	country	language	budget	box_office	url	key	best_pic	best_actor	best_cinemato	best_director	best_foreign	palme	goldenbear	goldenlion	htmlpath	best_actress	best_supp_actress	best_supp_actor	create_dt	update_dt	canonical	imdbid
	The Warrens of Virginia	1915			Cecil B. DeMille	50 minutes		Cecil B. DeMille,Jesse Lasky,David Belasco	Blanche Sweet		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	February 15, 1915 (1915-02-15)			United States	Silent	$28,360 (estimated)		/wiki/The_Warrens_of_Virginia_(1915_film)	thewarrensofvirginia									wiki/The_Warrens_of_Virginia_(1915_film).html					2016-03-08 21:43:39	/wiki/The_Warrens_of_Virginia_(1915_film)	tt0006243
	The Unafraid	1915			Cecil B. DeMille			Cecil B. DeMille	Rita Jolivet		Alvin Wyckoff	Cecil B. DeMille		April 1, 1915 (1915-04-01)			United States	Silent			/wiki/The_Unafraid	theunafraid									wiki/The_Unafraid.html					2016-03-08 21:43:43	/wiki/The_Unafraid	tt0006194
	The Captive	1915			Cecil B. DeMille	50 minutes		Cecil B. DeMille,Jesse L. Lasky	Blanche Sweet		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	April 22, 1915 (1915-04-22)	Cecil B. DeMille		United States	Silent,English intertitles	$12,153.54[1]	$56,074.88[1]	/wiki/The_Captive_(1915_film)	thecaptive									wiki/The_Captive_(1915_film).html					2016-03-09 00:30:29	/wiki/The_Captive_(1915_film)	tt0005059
	The Wild Goose Chase	1915			Cecil B. DeMille	40 minutes		Cecil B. DeMille,Jesse L. Lasky	Ina Claire		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	May 27, 1915 (1915-05-27)			United States	Silent	$10,611.85[1]	$60,630.68[1]	/wiki/The_Wild_Goose_Chase_(film)	thewildgoosechase									wiki/The_Wild_Goose_Chase_(film).html					2016-03-08 21:43:54	/wiki/The_Wild_Goose_Chase_(film)	tt0006288
	The Arab	1915			Cecil B. DeMille			Jesse L. Lasky	Edgar Selwyn		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	June 14, 1915 (1915-06-14)			United States	Silent			/wiki/The_Arab_(1915_film)	thearab									wiki/The_Arab_(1915_film).html					2016-03-08 21:43:58	/wiki/The_Arab_(1915_film)	tt0004905
	Chimmie Fadden	1915			Cecil B. DeMille	40 minutes		Cecil B. DeMille,Jesse L. Lasky	Victor Moore		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	June 28, 1915 (1915-06-28)			United States	Silent,English intertitles	$10,504.39[1]	$78,944.49[1]	/wiki/Chimmie_Fadden	chimmiefadden									wiki/Chimmie_Fadden.html					2016-03-08 21:44:03	/wiki/Chimmie_Fadden	tt0005086
	Kindling	1915			Cecil B. DeMille	5 reels		Cecil B. DeMille,Jesse L. Lasky	Charlotte Walker		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	July 12, 1915 (1915-07-12)			United States	Silent			/wiki/Kindling_(film)	kindling									wiki/Kindling_(film).html					2016-03-08 21:44:07	/wiki/Kindling_(film)	tt0005589
	Carmen	1915			Cecil B. DeMille	65 minutes,(4512 feet: 5 reels)		Jesse L. Lasky,Cecil B. DeMille	Geraldine Farrar	Hugo Riesenfeld,Samuel L. Rothafel	Alvin Wyckoff	Anne Bauchens,Cecil B. DeMille	Paramount Pictures	October 31, 1915 (1915-10-31),November 1, 1915 (1915-11-01) (general release)			United States	English intertitles	$23,429[1]	$147,599[1]	/wiki/Carmen_(1915_Cecil_B._DeMille_film)	carmen									wiki/Carmen_(1915_Cecil_B._DeMille_film).html					2016-03-08 21:44:10	/wiki/Carmen_(1915_Cecil_B._DeMille_film)	tt0005060
	Chimmie Fadden Out West	1915			Cecil B. DeMille			Cecil B. DeMille	Victor Moore		Alvin Wyckoff	Cecil B. DeMille		November 21, 1915 (1915-11-21)			United States	Silent			/wiki/Chimmie_Fadden_Out_West	chimmiefaddenoutwest									wiki/Chimmie_Fadden_Out_West.html					2016-03-08 21:44:15	/wiki/Chimmie_Fadden_Out_West	tt0005087
	The Cheat	1915			Cecil B. DeMille (uncredited)	59 minutes		Cecil B. DeMille,Jesse L. Lasky	Sessue Hayakawa,Fannie Ward,Jack Dean	Robert Israel (1994)	Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	December 13, 1915 (1915-12-13) (initial release),November 24, 1918 (1918-11-24) (re-release)			United States	Silent,English intertitles	$17,311[1]	$96,389 (domestic)[1],$40,975 (foreign)[1]	/wiki/The_Cheat_(1915_film)	thecheat									wiki/The_Cheat_(1915_film).html					2016-03-08 21:44:20	/wiki/The_Cheat_(1915_film)	tt0005078
	Temptation	1915			Cecil B. DeMille	60 minutes		Cecil B. DeMille,Jesse L. Lasky	Geraldine Farrar,Theodore Roberts		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	December 30, 1915 (1915-12-30)	Hector Turnbull		United States	Silent,English intertitles	$22,472.25[1]	$102,437.47[1]	/wiki/Temptation_(1915_film)	temptation									wiki/Temptation_(1915_film).html					2016-03-08 21:44:27	/wiki/Temptation_(1915_film)	tt0006140
	The Golden Chance	1915			Cecil B. DeMille	74 minutes		Cecil B. DeMille	Cleo Ridgely		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures,Image Entertainment	December 30, 1915 (1915-12-30)			United States	Silent,English intertitles			/wiki/The_Golden_Chance	thegoldenchance									wiki/The_Golden_Chance.html					2016-03-08 21:44:32	/wiki/The_Golden_Chance	tt0005402
	20000 Leagues Under the Sea	1916			Stuart Paton	105 min		Carl Laemmle	Allen Holubar,Jane Gail		Eugene Gaudio		Universal	December 24, 1916 (1916-12-24)			US	Silent film,English intertitles			/wiki/20,000_Leagues_Under_the_Sea_(1916_film)	20000leaguesunderthesea									wiki/20,000_Leagues_Under_the_Sea_(1916_film).html					2016-03-08 19:08:41	/wiki/20,000_Leagues_Under_the_Sea_(1916_film)	tt0006333
	Intolerance	1916			D. W. Griffith	210 minutes (original release),197 minutes (most surviving cuts)		D. W. Griffith	Vera Lewis,Ralph Lewis,Mae Marsh,Robert Harron,Constance Talmadge,Lillian Gish,Josephine Crowell,Margery Wilson,Frank Bennett,Elmer Clifton,Miriam Cooper,Alfred Paget	Joseph Carl Breil,Julián Carrillo,Carl Davis (for 1989 restoration)	Billy Bitzer	D. W. Griffith,James Smith,Rose Smith	Triangle Distributing Corporation	September 5, 1916			United States	Silent film,English intertitles	$385,907[1]		/wiki/Intolerance_(film)	intolerance									wiki/Intolerance_(film).html					2016-03-08 18:36:31	/wiki/Intolerance_(film)	tt0006864
	The Trail of the Lonesome Pine	1916			Cecil B. DeMille	50 minutes		Jesse L. Lasky	Charlotte Walker		Alvin Wyckoff	Cecil B. DeMille		February 13, 1916 (1916-02-13)	Cecil B. DeMille		United States	Silent			/wiki/The_Trail_of_the_Lonesome_Pine_(1916_film)	thetrailofthelonesomepine									wiki/The_Trail_of_the_Lonesome_Pine_(1916_film).html					2016-03-08 21:44:38	/wiki/The_Trail_of_the_Lonesome_Pine_(1916_film)	tt0007473
	The Heart of Nora Flynn	1916			Cecil B. DeMille	50 minutes		Cecil B. DeMille	Marie Doro		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	April 23, 1916 (1916-04-23)			United States	Silent,English intertitles			/wiki/The_Heart_of_Nora_Flynn	theheartofnoraflynn									wiki/The_Heart_of_Nora_Flynn.html					2016-03-08 21:44:42	/wiki/The_Heart_of_Nora_Flynn	tt0006770
	Maria Rosa	1916			Cecil B. DeMille	50 minutes		Cecil B. DeMille,Jesse Lasky	Geraldine Farrar		Alvin Wyckoff	Cecil B. DeMille	Famous Players-Lasky	May 7, 1916 (1916-05-07)			United States	Silent			/wiki/Maria_Rosa	mariarosa									wiki/Maria_Rosa.html					2016-03-08 21:44:46	/wiki/Maria_Rosa	tt0007038
	The Dream Girl	1916			Cecil B. DeMille	50 minutes (1500 m)		Cecil B. DeMille,Jesse L. Lasky	Mae Murray		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	July 17, 1916 (1916-07-17)		Famous Players-Lasky/Artcraft	United States	Silent			/wiki/The_Dream_Girl_(film)	thedreamgirl									wiki/The_Dream_Girl_(film).html					2016-03-08 21:44:50	/wiki/The_Dream_Girl_(film)	tt0006605
	Joan the Woman	1916			Cecil B. DeMille	138 minutes		Jesse L. Lasky,Cecil B. DeMille	Geraldine Farrar	William Furst	Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	December 25, 1916 (1916-12-25) (New York City premiere)		Famous Players-Lasky/Cardinal	United States	Silent (English intertitles)	$302,976[1]	$605,731[1]	/wiki/Joan_the_Woman	joanthewoman									wiki/Joan_the_Woman.html					2016-03-08 21:44:54	/wiki/Joan_the_Woman	tt0008150
	Cleopatra	1917			J. Gordon Edwards	125 mins. (11 reels)		William Fox	Theda Bara,Fritz Leiber, Sr.,Thurston Hall	José Martínez	John W. Boyle,Rial Schellinger,George Schneiderman	Edward M. McDermott	Fox Film Corporation	October 14, 1917 (1917-10-14)			United States	Silent,English intertitles	$500,000		/wiki/Cleopatra_(1917_film)	cleopatra									wiki/Cleopatra_(1917_film).html					2016-03-08 18:29:20	/wiki/Cleopatra_(1917_film)	tt0007801
	Lost and Won	1917			Cecil B. DeMille,Frank Reicher	50 minutes		Cecil B. DeMille	Marie Doro		Paul P. Perry			January 21, 1917 (1917-01-21)			United States	Silent			/wiki/Lost_and_Won	lostandwon									wiki/Lost_and_Won.html					2016-03-08 21:44:59	/wiki/Lost_and_Won	tt0008217
	A Romance of the Redwoods	1917			Cecil B. DeMille	70 minutes		Cecil B. DeMille	Mary Pickford		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	May 14, 1917 (1917-05-14)		Famous Players-Lasky/Artcraft	United States	Silent			/wiki/A_Romance_of_the_Redwoods	aromanceoftheredwoods									wiki/A_Romance_of_the_Redwoods.html					2016-03-08 21:45:03	/wiki/A_Romance_of_the_Redwoods	tt0008519
	The Little American	1917			Cecil B. DeMille,Joseph Levering	80 minutes	Jeanie MacPherson (uncredited)	Cecil B. DeMille,Mary Pickford	Mary Pickford		Alvin Wyckoff	Cecil B. DeMille	Artcraft Pictures Corporation	August 27, 1917 (1917-08-27)			United States	Silent (English intertitles)	$166,949.16[1]	$446,236.88[1]	/wiki/The_Little_American	thelittleamerican									wiki/The_Little_American.html					2016-03-08 21:45:07	/wiki/The_Little_American	tt0008188
	The Woman God Forgot	1917			Cecil B. DeMille	60 minutes		Cecil B. DeMille,Jesse L. Lasky	Wallace Reid		Charles Schoenbaum,Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	October 28, 1917 (1917-10-28)		Famous Players-Lasky/Artcraft	United States	Silent (English intertitles)			/wiki/The_Woman_God_Forgot	thewomangodforgot									wiki/The_Woman_God_Forgot.html					2016-03-08 21:45:12	/wiki/The_Woman_God_Forgot	tt0008786
	Nan of Music Mountain	1917			George Melford,Cecil B. DeMille (uncredited)	50 minutes			Wallace Reid		Paul P. Perry			December 12, 1917 (1917-12-12)			United States	Silent (English intertitles)			/wiki/Nan_of_Music_Mountain	nanofmusicmountain									wiki/Nan_of_Music_Mountain.html					2016-03-08 21:45:18	/wiki/Nan_of_Music_Mountain	tt0008361
	The Devil-Stone	1917			Cecil B. DeMille	60 minutes		Jesse L. Lasky,Cecil B. DeMille	Geraldine Farrar,Wallace Reid,Hobart Bosworth,Tully Marshall		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	December 16, 1917 (1917-12-16)		Famous Players-Lasky/Artcraft	United States	Silent (English intertitles)			/wiki/The_Devil-Stone	thedevilstone									wiki/The_Devil-Stone.html					2016-03-08 21:45:22	/wiki/The_Devil-Stone	tt0007857
	Mickey	1918			F. Richard Jones,James Young	93 minutes		Mabel Normand,Mack Sennett	Mabel Normand		Fred Jackman,Hans F. Koenekamp,Hugh McClung,Frank D. Williams	John O'Donnell	States Rights Independent Exchanges,Film Booking Office of America (FBO)	August 1918 (1918-08)			United States	Silent film,English intertitles	$250,000		/wiki/Mickey_(1918_film)	mickey									wiki/Mickey_(1918_film).html					2016-03-08 18:40:09	/wiki/Mickey_(1918_film)	tt0009369
	The Whispering Chorus	1918			Cecil B. DeMille	86 minutes		Cecil B. DeMille	Raymond Hatton		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	March 28, 1918 (1918-03-28)		Famous Players-Lasky/Artcraft	United States	Silent (English intertitles)			/wiki/The_Whispering_Chorus	thewhisperingchorus									wiki/The_Whispering_Chorus.html					2016-03-08 21:45:29	/wiki/The_Whispering_Chorus	tt0009796
	Old Wives for New	1918			Cecil B. DeMille	60 minutes		Cecil B. DeMille,Jesse L. Lasky	Elliott Dexter		Alvin Wyckoff	Cecil B. DeMille	Paramount Pictures	May 19, 1918 (1918-05-19)		Famous Players-Lasky/Artcraft	United States	Silent (English intertitles)			/wiki/Old_Wives_for_New	oldwivesfornew									wiki/Old_Wives_for_New.html					2016-03-08 21:45:34	/wiki/Old_Wives_for_New	tt0009440
	We Can't Have Everything	1918			Cecil B. DeMille	60 minutes		Cecil B. DeMille	Kathlyn Williams		Alvin Wyckoff	Anne Bauchens,Cecil B. DeMille	Paramount Pictures	July 7, 1918 (1918-07-07)			United States	Silent (English intertitles)			/wiki/We_Can't_Have_Everything	wecanthaveeverything									wiki/We_Can't_Have_Everything.html					2016-03-08 11:20:46	/wiki/We_Can%27t_Have_Everything	tt0009781
	Till I Come Back to You	1918			Cecil B. DeMille	6 reels		Cecil B. DeMille,Jesse L. Lasky	Bryant Washburn		Alvin Wyckoff	Anne Bauchens	Paramount Pictures / Artcraft	August 25, 1918 (1918-08-25)		Famous Players-Lasky/Artcraft	United States	Silent (English intertitles)			/wiki/Till_I_Come_Back_to_You	tillicomebacktoyou									wiki/Till_I_Come_Back_to_You.html					2016-03-08 21:45:38	/wiki/Till_I_Come_Back_to_You	tt0009702
	The Squaw Man	1918			Cecil B. DeMille	6 reels		Cecil B. DeMille	Elliott Dexter		King D. Gray,Alvin Wyckoff	Anne Bauchens	Artcraft Pictures Corporation	December 15, 1918 (1918-12-15)			United States	Silent (English intertitles)			/wiki/The_Squaw_Man_(1918_film)	thesquawman									wiki/The_Squaw_Man_(1918_film).html					2016-03-08 21:45:42	/wiki/The_Squaw_Man_(1918_film)	tt0009650
	The Miracle Man	1919			George Loane Tucker	8 reels		George Loane Tucker	Thomas Meighan,Betty Compson,Lon Chaney,Joseph J. Dowling,J.M. Dumont,Lawson Butt(*uncredited)	Jacques Grandfi,Harry B. Smith(lyrics)	Philip E. Rosen,Ernest G. Palmer		Famous Players-Lasky	August 29, 1919 (1919-08-29)		Mayflower Photoplay Corporation	United States	Silent,English intertitles	$126,000	$1 million[1]	/wiki/The_Miracle_Man_(1919_film)	themiracleman									wiki/The_Miracle_Man_(1919_film).html					2016-03-08 18:56:06	/wiki/The_Miracle_Man_(1919_film)	tt0010466
	Don't Change Your Husband	1919			Cecil B. DeMille	86 minutes		Jesse L. Lasky	Elliott Dexter		Alvin Wyckoff	Anne Bauchens	Paramount Pictures	January 26, 1919 (1919-01-26)	Jeanie MacPherson		United States	Silent (English intertitles)	$73,922.14[1]	$292,134.10[1]	/wiki/Don't_Change_Your_Husband	dontchangeyourhusband									wiki/Don't_Change_Your_Husband.html					2016-03-08 00:17:42	/wiki/Don%27t_Change_Your_Husband	tt0010071
	For Better, for Worse	1919			Cecil B. DeMille	70 minutes (7 reels; 7,105 feet)		Cecil B. DeMille,Jesse L. Lasky	Elliott Dexter		Alvin Wyckoff	Anne Bauchens	Paramount Pictures	April 27, 1919 (1919-04-27)			United States	Silent (English intertitles)	$1,260.93	$256,072.97	/wiki/For_Better,_for_Worse_(1919_film)	forbetterforworse									wiki/For_Better,_for_Worse_(1919_film).html					2016-03-08 21:45:48	/wiki/For_Better,_for_Worse_(1919_film)	tt0010137
	Male and Female	1919			Cecil B. DeMille	116 minutes		Cecil B. DeMille,Jesse L. Lasky	Gloria Swanson,Thomas Meighan	Sydney Jill Lehman (1997 version)	Alvin Wyckoff	Anne Bauchens	Paramount Pictures	November 23, 1919 (1919-11-23)		Famous Players-Lasky/Artcraft	United States	Silent Film,English intertitles	$168,619.28[1]	$1,256,226.59[1]	/wiki/Male_and_Female	maleandfemale									wiki/Male_and_Female.html					2016-03-08 21:45:52	/wiki/Male_and_Female	tt0010418
	Way Down East	1920			D. W. Griffith	145 minutes		D. W. Griffith (uncredited)	Lillian Gish,Richard Barthelmess,Lowell Sherman,Burr McIntosh	Louis Silvers,William Frederick Peters	Billy Bitzer,Hendrik Sartov		United Artists	September 3, 1920 (1920-09-03)			United States	Silent (English intertitles)	$1 million[1]	$2 million[2]	/wiki/Way_Down_East	waydowneast									wiki/Way_Down_East.html					2016-03-08 19:01:06	/wiki/Way_Down_East	tt0011841
	Why Change Your Wife?	1920			Cecil B. DeMille	90 minutes		Cecil B. DeMille,Jesse L. Lasky	Gloria Swanson		Alvin Wyckoff	Anne Bauchens	Paramount Pictures	May 22, 1920 (1920-05-22)	William C. de Mille		United States	Silent,English intertitles	$129,349.31[1]	$1 million[1]	/wiki/Why_Change_Your_Wife?	whychangeyourwife									wiki/Why_Change_Your_Wife?.html					2016-03-08 11:26:43	/wiki/Why_Change_Your_Wife%3F	tt0011865
	Something to Think About	1920			Cecil B. DeMille	78 minutes		Cecil B. DeMille,Jesse L. Lasky	Elliott Dexter		Karl Struss,Alvin Wyckoff	Anne Bauchens	Paramount Pictures	October 17, 1920 (1920-10-17)	Jeanie MacPherson		United States	Silent	$169,330	$915,848.51	/wiki/Something_to_Think_About	somethingtothinkabout									wiki/Something_to_Think_About.html					2016-03-08 21:46:00	/wiki/Something_to_Think_About	tt0011716
	The Four Horsemen of the Apocalypse	1921			Rex Ingram	134 minutes (edited version),156 minutes (complete version)	June Mathis	Rex Ingram	Pomeroy Cannon,Josef Swickard,Bridgetta Clark,Rudolph Valentino,Wallace Beery,Alice Terry	Louis F. Gottschalk			Metro Pictures	March 6, 1921 (1921-03-06) (US)			United States	Silent,English intertitles		$4.5 million[1][2]	/wiki/The_Four_Horsemen_of_the_Apocalypse_(film)	thefourhorsemenoftheapocalypse									wiki/The_Four_Horsemen_of_the_Apocalypse_(film).html					2016-03-08 18:53:22	/wiki/The_Four_Horsemen_of_the_Apocalypse_(film)	tt0012190
	The Kid	1921			Charlie Chaplin	68 minutes[1](original cut),53 minutes[2] (1971 re-release)		Charlie Chaplin	Charlie Chaplin,Jackie Coogan,Edna Purviance	Charlie Chaplin (1971 re-release)	R. H. Totheroh	Charlie Chaplin	First National	January 21, 1921 (1921-01-21) (Premiere),February 6, 1921 (1921-02-06)			United States	Silent film,English intertitles	$250,000	$2.5 million[3][4]	/wiki/The_Kid_(1921_film)	thekid									wiki/The_Kid_(1921_film).html					2016-03-08 18:54:57	/wiki/The_Kid_(1921_film)	tt0012349
	Humor Risk	1921			Dick Smith	2 reels		The Marx Brothers,Al Posen,Max Lippman,Jo Swerling	Chico Marx,Groucho Marx,Harpo Marx,Zeppo Marx,Jobyna Ralston		A. H. Vallet		Caravel Comedies	1921 (1921)			United States	Silent film,English intertitles			/wiki/Humor_Risk	humorrisk									wiki/Humor_Risk.html					2016-03-08 18:35:32	/wiki/Humor_Risk	tt0209031
	Forbidden Fruit	1921			Cecil B. DeMille	87 minutes		Cecil B. DeMille	Agnes Ayres		Alvin Wyckoff	Anne Bauchens	Paramount Pictures	January 23, 1921 (1921-01-23)			United States	Silent (English intertitles)	$340,000		/wiki/Forbidden_Fruit_(1921_film)	forbiddenfruit									wiki/Forbidden_Fruit_(1921_film).html					2016-03-08 21:46:04	/wiki/Forbidden_Fruit_(1921_film)	tt0012187
	The Affairs of Anatol	1921			Cecil B. DeMille (uncredited)	117 minutes		Cecil B. DeMille,Jesse L. Lasky	Wallace Reid	Brian Benison	Karl Struss,Alvin Wyckoff	Anne Bauchens	Paramount Pictures	September 21, 1921 (1921-09-21)			United States	Silent,English intertitles	$176,508.08[1]	$1.2 million[1]	/wiki/The_Affairs_of_Anatol	theaffairsofanatol									wiki/The_Affairs_of_Anatol.html					2016-03-08 21:46:09	/wiki/The_Affairs_of_Anatol	tt0011909
	Fool's Paradise	1921			Cecil B. DeMille	9 reels (8,681 feet)		Cecil B. DeMille	Dorothy Dalton		Alvin Wyckoff,Karl Struss	Anne Bauchens	Paramount Pictures	December 9, 1921 (1921-12-09)			United States	Silent (English intertitles)	$291,367.56	$901,937.79	/wiki/Fool's_Paradise_(film)	foolsparadise									wiki/Fool's_Paradise_(film).html					2016-03-08 00:18:31	/wiki/Fool%27s_Paradise_(film)	tt0012181
	Robin Hood	1922			Allan Dwan	127 minutes,11 reels (10,680 ft.)		Douglas Fairbanks	Douglas Fairbanks,Wallace Beery,Sam De Grasse,Enid Bennett,Alan Hale	Victor Schertzinger	Arthur Edeson & Charles Richardson	William Nolan	United Artists	October 18, 1922 (1922-10-18)			United States	Silent film,English intertitles	$930,000[1]	$2,500,000 (US/Canada)[2]	/wiki/Robin_Hood_(1922_film)	robinhood									wiki/Robin_Hood_(1922_film).html					2016-03-08 18:45:18	/wiki/Robin_Hood_(1922_film)	tt0013556
	Dr. Mabuse the Gambler	1922			Fritz Lang	270 minutes		Erich Pommer	Rudolf Klein-Rogge,Aud Egede-Nissen,Gertrude Welcker,Alfred Abel,Bernhard Goetzke		Carl Hoffmann			26 May 1922 (1922-05-26) (Germany)			Weimar Republic	German intertitles			/wiki/Dr._Mabuse_the_Gambler	drmabusethegambler									wiki/Dr._Mabuse_the_Gambler.html					2016-03-08 21:39:27	/wiki/Dr._Mabuse_the_Gambler	tt0013086
